chest_cm,shoulder_cm,torso_cm,customer_id,standard_size,fit_error_cm,poor_fit,chest_zscore,shoulder_zscore,torso_zscore,is_outlier,body_type,optimized_size,optimized_size_label,optimized_fit_error,optimized_poor_fit
94.22274348495198,41.57661396147435,66.70609215041347,1,M,3.7772565150480233,False,-0.427898921509503,-0.761975001273835,-0.2316525511504676,False,Slim,1,XS,2.9474156425652174,False
85.58953300685342,41.01510097103759,63.09831735535646,2,S,2.410466993146585,False,-1.527083470747285,-0.9559461852595268,-0.980534619885851,False,Slim,1,XS,6.686270459312419,True
86.57200414101231,41.52140279592183,59.50589901214239,3,S,1.4279958589876856,False,-1.4019947689857322,-0.7810473563819911,-1.7262290807249938,False,Slim,1,XS,7.567309072881501,True
92.80111554241658,43.63460584003538,67.47414279907487,4,M,5.198884457583418,False,-0.6089012813110872,-0.051054456039578,-0.0722248176203281,False,Average,1,XS,3.413893277562066,False
92.289151335746,46.57421382562325,73.27284679583596,5,M,5.710848664253987,False,-0.6740848126477431,0.9644149117746128,1.131438296559713,False,Athletic,0,S,11.03812781761945,True
101.00504955799164,44.46878464030438,73.5194460867066,6,M,3.00504955799164,False,0.435627580317279,0.2371074427939362,1.1826260223980607,False,Average,0,S,3.6063539581361623,False
103.6801080797016,42.88831800250437,76.29497543477547,7,M,5.680108079701597,False,0.7762173299625414,-0.3088549662778431,1.7587551540903676,False,Average,0,S,6.211746006735324,True
99.1535204842236,47.34996648944007,68.42018849200703,8,M,1.1535204842236055,False,0.1998899997829741,1.2323938637193594,0.1241501491907694,False,Average,0,S,4.827271338573188,False
101.85456206270334,47.52650843860249,69.49456903483363,9,M,3.854562062703337,False,0.5437879248301636,1.2933791863840058,0.3471641589963111,False,Broad,0,S,2.4920041967006084,False
93.98504016763655,43.63986771121285,68.57627204456499,10,M,4.014959832363445,False,-0.4581634232679755,-0.0492367752384964,0.1565491154165217,False,Average,1,XS,4.7049865069910455,False
105.557774893798,45.67853314867817,64.03257378182525,11,L,2.442225106201988,False,1.0152827802845474,0.6550075706461281,-0.7866068042301014,False,Broad,0,S,7.263581168898806,True
